Supplier Deductions Key,,,,,,,,,,,
Updated January 2025,,,,,,,,,,,
,,,,,,,,,,,
Invoice # ,Category/Billing Type,Processing for Region(s) ,Customer Name,Deduction Description,,,,,,,
(invoice #)EFA,3rd Party Billing,UNFI East Region,Earth Fare,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)EOM,3rd Party Billing,UNFI East Region,Earth Origins,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)EWN,3rd Party Billing,UNFI West Region,Erewhon,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)FCW,3rd Party Billing,UNFI East Region,Food City / Kvat,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)FDLAND,3rd Party Billing,UNFI West Region,Foodland,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)FDLION,3rd Party Billing,UNFI East Region,Food Lion,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)FDTOWN,3rd Party Billing,UNFI East Region,Foodtown,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)FESTVL,3rd Party Billing,UNFI East Region,Festival Foods,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)GEAGLE,3rd Party Billing,UNFI East Region,Giant Eagle (Sup),3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)GRACRS,3rd Party Billing,UNFI East Region,Green Acres,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)GRS,3rd Party Billing,UNFI East Region,Grauls Market,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)GU2,3rd Party Billing,UNFI East Region,Guido's,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)HANAFD,3rd Party Billing,UNFI East Region,Hannaford,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)HAGGEN,3rd Party Billing,UNFI West Region,Haggen,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)HML,3rd Party Billing,UNFI West Region,Homeland,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)HARVES,3rd Party Billing,UNFI East Region,Harvest Health Foods,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice#)HLTLVN,3rd Party Billing,UNFI East Region,Healthy Living Markets,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)HEINEN,3rd Party Billing,UNFI East Region,Heinen's,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)HRT,3rd Party Billing,UNFI East Region,Harris Teeter,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)HYS,3rd Party Billing,UNFI East Region,Hollywood Markets,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)INGLES,3rd Party Billing,UNFI East Region,Ingles,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)ION,3rd Party Billing,UNFI West Region,It is only Natural and Organics (Ion) Group,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)KINGK,3rd Party Billing,UNFI East Region,King Kullen (KGK & KNS),3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)KLF,3rd Party Billing,UNFI East Region,Kowlans,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)KWLSKI,3rd Party Billing,UNFI East Region,Kowalski,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)LMMRKET,3rd Party Billing,UNFI East Region,L & M Marketing,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)LNRDIS,3rd Party Billing,UNFI West Region,Lunardis,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)LUNDS,3rd Party Billing,UNFI East Region,Lunds,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)MC2,3rd Party Billing,UNFI East Region,Vince & Joe Gourmet Market,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)MCCAFFRY,3rd Party Billing,UNFI East Region,McCaffrey's,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
"(Invoice #)METMKT
(Invoice #)MET",3rd Party Billing,UNFI West Region,Metropolitan Market,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)MOTHER,3rd Party Billing,UNFI West Region,Mother's Market,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)MUR,3rd Party Billing,UNFI East Region,Murphy's,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)MUSTSD,3rd Party Billing,UNFI East Region,Mustard Seed,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)NATGROC,3rd Party Billing,UNFI West Region,Natural Grocer,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)NWLEAF,3rd Party Billing,UNFI West Region,New Leaf,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)NWSESN,3rd Party Billing,UNFI West Region,New Season,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)PLUM,3rd Party Billing,UNFI East Region,Plum Market,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)PUBLIX,3rd Party Billing,UNFI East Region,Publix,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)PWM,3rd Party Billing,UNFI East Region,Piggly Wiggly,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)RED,3rd Party Billing,UNFI East Region,Redner's ,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)ROCHE,3rd Party Billing,UNFI East Region,Roche Bros.,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)SCHNCK,3rd Party Billing,UNFI East Region,Schnuck's,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)SPROUTS,3rd Party Billing,UNFI West Region,Sprouts,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)SUNSET,3rd Party Billing,UNFI East Region,Sunset Foods,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)TFL,3rd Party Billing,UNFI East Region,Taste for Life,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)TFM,3rd Party Billing,UNFI East Region,Fresh Market,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)TFMW,3rd Party Billing,UNFI East Region,Fresh Market Wellness,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)THRIVE,3rd Party Billing,UNFI East Region,Thrive Market,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)TONYSFM,3rd Party Billing,UNFI East Region,Tonys Fresh Markets,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)TOPSMKTS,3rd Party Billing,UNFI East Region,Tops Markets,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)TWINE,3rd Party Billing,UNFI East Region,Total Wine & More,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)VAL,3rd Party Billing,UNFI East Region,Vali Produce,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)VILMKT,3rd Party Billing,UNFI East Region,Village Market,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)VITCST,3rd Party Billing,UNFI East Region,VitaCost,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)WEGMNS,3rd Party Billing,UNFI East Region,Wegman's,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)WEIS,3rd Party Billing,UNFI East Region,Weis,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)WINDIX,3rd Party Billing,UNFI East Region,Winn Dixie,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)WKFERN,3rd Party Billing,UNFI East Region,Wakefern,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)WSS,3rd Party Billing,UNFI East Region,Weis Markets,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)YUM,3rd Party Billing,UNFI West Region,Yummy,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice#)-111,Quantity/Pricing Deduction,National,,UNFI Quantity or Pricing Deductions - Occurs when PO/Receipt/Invoice do not match,,,,,,,
(invoice#)AWG,3rd Party Billing,UNFI East Region,Associated Wholesale Grocer,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice#)BEK,3rd Party Billing,UNFI East Region,Ben E. Keith,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice#)CV,ClearVue Allowance ,UNFI East Region,,ClearVue Allowance not given off invoice,,,,,,,
(Invoice#)SP,Spoils Allowance,UNFI East Region,,Spoils Allowance not given off invoice,,,,,,,
*DM,Payback,National,,Any invoice # noted with either a PB or DM suffix is a repayment of the original deduction taken,,,,,,,
*PB,Payback,National,,Any invoice # noted with either a PB or DM suffix is a repayment of the original deduction taken,,,,,,,
01ASM(mmddyy)0(Remit#),MCB (Published Promo),UNFI East Region,,F-Circulars/Fliers:  Authorized MCB deals for Monthly Newsletter / Monthly's Specials booklet (NWSL) or the circular flyer (CIRC). ,,,,,,,
01ASM(mmddyy)0(Remit#),MCB (Published Promo),UNFI East Region,,G-Monthly Specials/Newsletters:  Authorized MCB deals for Monthly Newsletter / Monthly's Specials booklet (NWSL) or the circular flyer (CIRC). ,,,,,,,
01CNDM(mmmyy)0(Remit #),Concealed Damage,UNFI West Region,,CONCEALED DAMAGE -ROCKLIN,,,,,,,
01EDC(month)(yy)0(Remit#),EDLC - Whole Foods,UNFI East Region,Whole Foods,"As part of the Whole Foods Market Natural Vendor Every Day Low Cost Program administered for products distributed by UNFI, this deduction bills back the different between negotiated reduced FOB between WFM and Vendors, so WFM deals directly with the Vendor and send us the agreement with the items/cost/discount and our FOB",,,,,,,
01OVP(mmyy)0(Remit#),Overpulls,UNFI East Region,,Overpull:  Recover difference between off invoice discount extended to customers and  inventory purchase price,,,,,,,
OVPDC(mmyy)0(Remit#),Overpulls,UNFI East Region,,Audit of monies owed to UNFI for promotional activity with our mutual customers that was above and beyond what was procured to support supplier's promotion. ,,,,,,,
WOVPDC(mmyy)0(Remit#),Overpulls,UNFI West Region,,Audit of monies owed to UNFI for promotional activity with our mutual customers that was above and beyond what was procured to support supplier's promotion. ,,,,,,,
02ASM(mmddyy)0(Remit#),MCB (Published Promo),Select Nutrition,,F-Circulars/Fliers:  Authorized MCB deals for Monthly Newsletter / Monthly's Specials booklet (NWSL) or the circular flyer (CIRC). ,,,,,,,
02ASM(mmddyy)0(Remit#),MCB (Published Promo),Select Nutrition,,G-Monthly Specials/Newsletters:  Authorized MCB deals for Monthly Newsletter / Monthly's Specials booklet (NWSL) or the circular flyer (CIRC). ,,,,,,,
02CNDM(mmmyy)0(Remit #),Concealed Damage,UNFI West Region,,CONCEALED DAMAGE -SEATTLE,,,,,,,
02EDC(month)(yy)0(Remit#),EDLC - Whole Foods,UNFI East Region,Whole Foods/Select Nutrition,"As part of the Whole Foods Market Natural Vendor Every Day Low Cost Program administered for products distributed by UNFI, this deduction bills back the different between negotiated reduced FOB between WFM and Vendors, so WFM deals directly with the Vendor and send us the agreement with the items/cost/discount and our FOB",,,,,,,
02OVP(mmyy)0(Remit#),Select Nutrition Overpulls,UNFI East Region,,Overpull:  Recover difference between off invoice discount extended to customers and  inventory purchase price,,,,,,,
03EDC(month)(yy)0(Remit#),EDLC - Whole Foods,UNFI West Region,Whole Foods,"As part of the Whole Foods Market Natural Vendor Every Day Low Cost Program administered for products distributed by UNFI, this deduction bills back the different between negotiated reduced FOB between WFM and Vendors, so WFM deals directly with the Vendor and send us the agreement with the items/cost/discount and our FOB",,,,,,,
03EDLP(month)(yr)BBB(0)(Remit#),MCB (Customer Specific),UNFI West Region,Bed Bath & Beyond,"As part of the Bed,Bath & Beyond EDLP Program administered for products distributed by UNFI, this deduction bills back the different between negotiated reduced FOB and our FOB",,,,,,,
03EDLP(month)(yr)BUY(0)(Remit#),MCB (Customer Specific),UNFI West Region,Buy Buy Baby,"As part of the Buy Buy Baby EDLP Program administered for products distributed by UNFI, this deduction bills back the different between negotiated reduced FOB and our FOB",,,,,,,
04CNDM(mmmyy)0(Remit #),Concealed Damage,UNFI West Region,,CONCEALED DAMAGE-Moreno Valley/SoCal,,,,,,,
05CNDM(mmmyy)0(Remit #),Concealed Damage,UNFI West Region,,CONCEALED DAMAGE-DENVER,,,,,,,
06CNDM(mmmyy)0(Remit #),Concealed Damage,UNFI West Region,,CONCEALED DAMAGE-RIDGEFIELD/Portland,,,,,,,
07CNDM(mmmyy)0(Remit #),Concealed Damage,UNFI West Region,,CONCEALED DAMAGE-LANCASTER,,,,,,,
08CNDM(mmmyy)0(Remit #),Concealed Damage,UNFI West Region,,CONCEALED DAMAGE-GILROY,,,,,,,
A(invoice #),Disposition,UNFI East Region,,"ACB/Disposition:  Automated charge back for short dated, new items, guaranteed sales, ,list full reclaim",,,,,,,
AKINS(invoice#),3rd Party Billing,UNFI West Region,Akins,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
ARSM(mmyy)0(Remit#),Sales - Meeting Participation,UNFI East Region,,Participation in Atlantic Regional Sales Meeting,,,,,,,
BARONS(customer invoice #),3rd Party Billing,UNFI West Region,Barons,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
BASHAS( customer invoice #),3rd Party Billing,UNFI West Region,Bashas,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
BD(customer invoice #),3rd Party Billing,UNFI West Region,Bartell Drugs,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
BEK(invoice#),3rd Party Billing,UNFI West Region,Ben E. Keith,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
BERKELEYBOWL(customer invoice #),3rd Party Billing,UNFI West Region,Berkeley Bowl,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
BFARMS(customer invoice #),3rd Party Billing,UNFI West Region,Bristol Farms,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
CMQ(month)(yy)0(Remit#),MCB (Quality),UNFI East Region,,"Quality Manufacturer Chargebacks generated from Claims reported, recalls, quality issues, shelf worn, etc.",,,,,,,
CMQUNB(invoice #),MCB (Quality),UNFI East Region,,Quality manufacturer charge Backs (MCB) related to  recalls/withdrawals that were previously not billed with CMQ* deductions,,,,,,,
CA(customer invoice #),3rd Party Billing,UNFI West Region,Country Aire,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
CRDCAY(invoice#)HCM,MCB (Pricing Credit),UNFI East Region,Commissary,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice to Commissary,,,,,,,
CRDMCB(invoice#)HCM,MCB (Pricing Credit),UNFI East Region,,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice,,,,,,,
CRDWFM(invoice#),MCB (Pricing Credit),UNFI East Region,Whole Foods,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice,,,,,,,
CUTCSE(invoice #)XXHCM,Cut Case/Repack,UNFI East Region,,Cut case billings (also known as a broken case). UNFI breaks down a full case of product in order to send a smaller quantity to our customers.  ,,,,,,,
D(Invoice #),Disposition,UNFI East Region,,"Donations, Quality and Return to Vendor respectively",,,,,,,
D(mmyy)PCCSMT(Remit #),3rd Party Billing,UNFI West Region,PCC Quarterly Shelf Management Tracker,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
DRAEGERS(customer invoice #),3rd Party Billing,UNFI West Region,Draegers,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
ERCBP(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,,Participation in Custom Brand Pages Program,,,,,,,
ERDC(mmyy)0(Remit#),Advertising - Quarterly Ad Billings,UNFI East Region,,"Annual Advertising Program. We allow our suppliers to buy ad space in our UNFI catalog publications (Monthly Specials ads, Super Saver ads) on a yearly basis for a reduced rate. ",,,,,,,
ERDWB(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,,48 Hour Digital Web Billing,,,,,,,
ERDWN(mm)0(Remit#),Advertising - Monthly AD Billings,UNFI East Region,,East Discover What's Next Program,,,,,,,
EREMC(mmyy)0(Remit#),Advertising - Monthly AD Billings,UNFI East Region,,Participation in East Email - Situational Marketing Campaign program.,,,,,,,
EREXPL(mmyy)0(Remit #),Advertising - Monthly AD Billings,UNFI East Region,,Express Lane Program,,,,,,,
ERFSC(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,,East Food Service Catalog:  Participation in the Food Service Catalogue advertising billing.,,,,,,,
ERHE(mmyy)0(Remit#),Advertising - Monthly AD Billings,UNFI East Region,,Holiday Edition or Seasonal Essentials,,,,,,,
ERHS(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,,Hot Sheets Program,,,,,,,
ERKFNP(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,Key Foods,New Item Activation - Key Foods,,,,,,,
ERLDF(mmyy)0(Remit#),Advertising - Monthly AD Billings,UNFI East Region,,Late Disposition Fee imposted to supplier for outstanding response in regard to the Inventory Disposition Program,,,,,,,
WRLDF(mmyy)0(Remit#),Advertising - Monthly AD Billings,UNFI West Region,,Late Disposition Fee imposted to supplier for outstanding response in regard to the Inventory Disposition Program,,,,,,,
ERMAPMP(mmyy)0(Remit#),Advertising - Monthly AD Billings,UNFI East Region,,Enrollment fee for MAP Management Program.,,,,,,,
ERMSNPLP(mmyy)0(remit#),Advertising - Monthly AD Billings,UNFI East Region,,East Monthly Specials New Product & Line Listing:  Line Listing or New Product Listing advertising program from our Monthly Specials Catalogue.,,,,,,,
ERNACVTN(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,,New Item Activation,,,,,,,
ERNC(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,Natural Connection Flyer,Natural Connection Custom Flyer advertising billing.,,,,,,,
ERNIIP(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,,New Item Intro advertising program,,,,,,,
ERNIW(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,,New Item Webinar advertising program.,,,,,,,
ERNTRUCK(mmyy)0(remit #),Advertising - Monthly Ad Billings,UNFI East Region,,Truck Advertising,,,,,,,
ERNYSM(mmyy)0(Remit#),Sales - Meeting Participation,UNFI East Region,,Participation in National Sales Meeting,,,,,,,
EROSF(mmyy)0(Remit#),Shipment Fees,UNFI East Region,,Service Level Agreement Fee for overshipments,,,,,,,
ERPKGCHG(mmyy)0(Remit #),Pack Change Fee ,UNFI East Region,,"Pack Change Fee:  Supplier made changes to a product that will require a new UNFI product number.  Changes to case or unit size, retail UPC, brand name, organic status, description, or ingredients require a change.  ",,,,,,,
ERRSRP(mmyy)0(Remit #),Advertising - Monthly Ad Billings,UNFI East Region,,Rapid Shelf Recovery,,,,,,,
WRSE(mmyy)0(Remit#),Advertising - Monthly AD Billings,UNFI East Region,,Seasonal Essentials,,,,,,,
ERSHIP(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,Shippers,Shipper Custom Flyer advertising program.,,,,,,,
ERSIS(mmyy)0(Remit#),Advertising - Quarterly Ad Billings,UNFI East Region,,Supplier In-Site Program ,,,,,,,
ERSLA(mmyy)0(Remit#),Shipment Fees,UNFI East Region,,Service Level Agreement Fee for undershipments,,,,,,,
ERSOG(mmyy)0(Remit#),Advertising,UNFI East Region,,Sponsored Order Guide Program,,,,,,,
ERSPEC(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,,Monthly Specials advertising program.,,,,,,,
ERTRAAD(mmyy)0(Remit#),Advertising - Quarterly Ad Billings,UNFI East Region,,Participation in Trailer Advertising Program,,,,,,,
ERTRNDSB(mmyy)0(Remit#),Advertising - Quarterly Ad Billings,UNFI East Region,,Quarterly Reports on new trends program.  Trends Email for Trends Billing,,,,,,,
ERUDSM(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,,Participation in UNFI Discover (Social Media) Program,,,,,,,
ERTT(Location)(mmyy)0(Remit#),Food Show,UNFI East Region,,"Participation in the Table Top Shows (booth area, advertising, etc.).",,,,,,,(Location)(Month)(yy)0(Remit#)
ERTTOPAWI(Location)(Month)(yy)0(Remit#),Food Show,UNFI East Region,,"Participation in the Table Top Shows (booth area, advertising, etc.).",,,,,,,
ERTTOPEXPO(Location)(Month)(yy)0(Remit#),Food Show,UNFI East Region,,"Participation in the Table Top Shows (booth area, advertising, etc.).",,,,,,,
ERTTOPLB(Location)(Month)(yy)0(Remit#),Food Show,UNFI East Region,,"Participation in the Table Top Shows (booth area, advertising, etc.).",,,,,,,
ERTTSSSS(mmyy)0(Remit#),Food Show,UNFI East Region,,Participation in the Table Top Spring Show & Summer Showcase,,,,,,,(Location)(Month)(yy)0(Remit#)
ERTTSVWE(mmyy)0(Remit#),Food Show,UNFI East Region,,Participation in the Table Top Show for Virtual Wellness Exchange,,,,,,,(Location)(Month)(yy)0(Remit#)
ERTTWS(mmyy)0(Remit#),Food Show,UNFI East Region,,Participation in the Table Top Winter Show,,,,,,,
ERTTSWSLV(mmyy)0(Remit#),Food Show,UNFI East Region,,Participation in the Table Top Winter Show - Las Vegas,,,,,,,
ERTTOPWELL(Location)(Month)(yy)0(Remit#),Food Show,UNFI East Region,,"Participation in the Table Top Shows (booth area, advertising, etc.).",,,,,,,
ERTTORL(mmyy)0(Remit#),Food Show,UNFI East Region,,"Participation in the Table Top Shows (booth area, advertising, etc.).",,,,,,,
